Student_Names,Phone_No.,Gender,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
C S Maurrya,9447790911,Male,6,Yes,36,60,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ananthan Tiwari,9664496414,Male,9,Yes,66,99,33,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Md Tahir Yadav,9403508960,Male,7,Yes,47,90,91,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Karimulla Gupta,9369405687,Female,7,No,20,59,16,F,Failed,Better luck next time,NULL,NULL,NULL
Rehana Kumar,9009263198,Male,1,Yes,27,63,31,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shashi Kumar Singh,9715511621,Male,7,No,19,67,32,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Omsingh Maurya,9323299462,Female,8,Yes,79,24,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bhupendr Yadav,9731870343,Female,1,No,96,79,56,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Saharul Singh,9427378066,Male,3,Yes,60,90,27,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Tejasvi Seth,9509383470,Male,3,Yes,99,62,36,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Dhyan Rai,9378852954,Male,7,No,57,67,66,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Abdul Pratap,9571475917,Male,7,Yes,66,100,23,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Swarn Gupta,9617777719,Female,6,Yes,50,62,36,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ram Milan Gupta,9899678117,Female,9,Yes,87,37,33,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pavan Yadav Mishra,9457237836,Female,4,Yes,97,83,50,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Ujala Devi,9237366844,Male,2,Yes,78,85,73,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Ankit Raj Pratap,9977388052,Female,1,No,84,21,52,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Hoshiyar Rao,9660547069,Male,5,Yes,88,56,39,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Mukhram Rajput,9439936311,Male,8,No,40,38,85,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Nayantara Rao,9849131278,Male,7,No,10,80,100,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Lisha Rao,9054792891,Male,2,No,13,18,82,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Subathra Srivastav,9791087784,Male,5,No,23,32,74,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Harshraj Tiwari,9011126523,Female,9,Yes,94,18,81,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Amankumar Maurrya,9156873032,Male,6,Yes,93,24,82,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Ankitha Mishra,9669441936,Male,7,No,29,93,28,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ridhi Kumari,9190824944,Male,7,No,38,71,37,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Yashraj Srivastav,9816750051,Female,1,Yes,66,59,66,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Machhar Rai,9068845658,Male,2,No,38,79,45,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Deva Singh,9512162995,Female,6,No,71,49,24,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Samiullah Pandit,9649652870,Male,2,No,40,50,54,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dola Gupta,9466007958,Female,4,Yes,48,10,80,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
पुजा Vishwakarma,9602343607,Female,5,No,51,37,91,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ambadas Vishwakarma,9796913662,Female,3,No,24,59,51,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ketu Divedi,9633745535,Female,7,Yes,60,81,45,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Neha Pandey,9445821396,Male,10,No,17,14,40,F,Failed,Better luck next time,NULL,NULL,NULL
Karuppasamy Srivastav,9161798847,Female,10,No,17,30,41,F,Failed,Better luck next time,NULL,NULL,NULL
Singam Pratap,9179538139,Female,7,No,50,57,28,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
M D Gupta,9982540400,Female,7,No,85,77,16,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jaishree Vishwakarma,9184498278,Male,8,Yes,35,78,39,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kaluram Kumari,9844411135,Female,8,Yes,25,11,17,F,Failed,Better luck next time,NULL,NULL,NULL
Rameshchand Vishwakarma,9951891729,Male,6,Yes,37,77,84,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Simhachalam Rao,9734010132,Female,5,Yes,95,88,26,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Atabul Divedi,9357158282,Female,10,No,47,56,90,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Alip Seth,9156015317,Female,1,Yes,73,40,55,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shrimanta Yadav,9864823842,Female,1,Yes,93,47,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pallawi Rai,9958017085,Male,7,Yes,25,80,55,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Anjel Rajput,9189852273,Female,3,No,89,34,35,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ram Bhai Vishwakarma,9208810115,Female,3,Yes,98,88,35,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Rukshana Gupta,9439124411,Male,2,No,74,51,90,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Bhaskara Kumar,9348133183,Female,1,No,84,83,79,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Chiradeep Gupta,9239696668,Female,1,No,20,20,86,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ranjit Singh Kumari,9939949652,Male,6,Yes,48,44,53,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mufeed Seth,9237917985,Female,8,Yes,91,30,37,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Prakashkumar Mishra,9803161619,Female,8,Yes,58,39,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sujay Rao,9281830882,Female,9,No,47,31,54,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
O P Thakur,9925341194,Male,1,Yes,73,84,91,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Rukshana Seth,9420463132,Male,5,No,87,89,60,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Rupnarayan Rai,9943630143,Female,2,No,47,82,10,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Anilabh Rao,9958856678,Male,8,No,32,40,87,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Aatma Vishwakarma,9359163209,Female,5,Yes,22,32,82,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sudhar Yadav,9122581963,Female,6,No,21,78,67,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Mhesh Seth,9867521801,Male,8,No,30,40,39,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sayma Singh,9878211443,Female,7,No,61,19,33,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rawat Rajput,9047608997,Male,8,Yes,43,72,24,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rubu Singh,9707678718,Female,5,Yes,11,96,10,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Saibaba Devi,9444707704,Male,8,Yes,55,18,65,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Lingappa Yadav,9345102066,Female,4,Yes,39,46,78,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Tejram Maurrya,9383458771,Female,5,Yes,13,14,57,F,Failed,Better luck next time,NULL,NULL,NULL
Pt Sonkar,9704114710,Female,2,Yes,84,76,80,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Mangala Thakur,9682354489,Female,10,No,14,22,98,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Muru Maurrya,9708548667,Male,8,Yes,91,88,88,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Sahebrao Maurrya,9327923771,Male,5,Yes,66,88,18,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Vimala Singh,9009753102,Female,5,No,54,54,69,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Gori Gupta,9187924196,Female,7,No,71,68,98,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Mohd Rafiq Vishwakarma,9172030505,Male,5,No,79,56,45,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ugam Kumari,9801107046,Female,6,Yes,80,35,59,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Devendra Kumar Sonkar,9674631159,Male,7,Yes,56,54,21,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Mahalaxmi Pandit,9392554146,Female,1,No,19,13,30,F,Failed,Better luck next time,NULL,NULL,NULL
Aarya Maurrya,9258617406,Female,10,No,87,25,64,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Razzak Gupta,9757115359,Male,9,No,46,99,31,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Chandrashekar Srivastav,9035697591,Female,7,No,97,75,35,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Swarna Pandey,9782835808,Female,6,No,60,46,94,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Mental Srivastav,9239141267,Male,4,Yes,90,86,20,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Venu Singh,9652220730,Female,5,Yes,30,33,100,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Hafijul Mishra,9028959646,Female,2,Yes,35,48,72,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ghan Yadav,9139934390,Male,4,Yes,77,48,28,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Bahubali Vishwakarma,9120854259,Male,3,No,52,98,86,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Md Jakir Gupta,9661144520,Female,8,No,65,51,75,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Sk Raja Thakur,9176050878,Male,5,No,82,67,86,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Jaynath Seth,9034500590,Female,7,Yes,38,50,60,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Balaraman Seth,9360903353,Male,10,No,26,27,14,F,Failed,Better luck next time,NULL,NULL,NULL
Nishanth Rajput,9508313069,Female,2,Yes,66,33,74,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Popat Seth,9154543138,Male,4,Yes,78,37,41,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Manveer Thakur,9796021428,Female,7,Yes,35,39,57,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Thimmaraju Divedi,9724446299,Male,7,Yes,28,15,33,F,Failed,Better luck next time,NULL,NULL,NULL
Munish Vishwakarma,9565376072,Male,7,Yes,77,58,31,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Hk Kumar,9234904534,Female,6,No,46,74,56,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sunil Singh Divedi,9985900475,Female,10,No,73,81,89,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Mohsim Yadav,9223751622,Female,2,Yes,42,21,58,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sugu Srivastav,9997871877,Male,9,No,65,34,79,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Chukka Seth,9273580459,Female,2,Yes,62,20,80,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Chunu Rai,9125304860,Male,2,No,86,58,47,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Radhe Shyam Yadav,9918440985,Female,2,Yes,57,94,37,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
A N Kumari,9811370622,Male,8,Yes,86,31,15,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Hmangaiha Divedi,9914973561,Female,3,No,24,87,49,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Devaraj Vishwakarma,9286907777,Male,2,Yes,42,20,76,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
अवधेश Vishwakarma,9994896433,Male,7,No,14,93,78,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Amitav Gupta,9939710441,Male,1,No,44,45,41,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Jaya Mishra,9758389038,Male,5,No,48,56,47,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Keshav Kumar Gupta,9409404322,Male,8,Yes,25,81,53,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Tanmay Tiwari,9656647955,Male,8,Yes,94,55,45,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Saicharan Devi,9915046454,Female,4,Yes,23,17,70,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Savai Mishra,9698645492,Female,1,No,39,11,76,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rithick Kumar,9508977150,Male,4,No,36,42,89,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Omkar Singh Divedi,9008622175,Male,9,No,94,91,74,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Nalina Singh,9491920484,Male,5,No,41,75,28,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Suraksha Maurrya,9194525196,Male,6,Yes,69,71,38,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Veerababu Srivastav,9101717531,Female,9,No,25,54,63,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bante Rajput,9322982216,Male,8,No,43,100,27,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Dhiraj Kumar Rajput,9823292892,Male,8,No,89,57,16,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ramanjaneyulu Mishra,9788355379,Female,10,Yes,94,59,56,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Nannu Yadav,9372467240,Female,10,Yes,65,39,96,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Sofik Seth,9321077629,Female,10,No,45,73,86,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Mula Rao,9814427871,Female,8,Yes,98,32,75,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Dharmdas Divedi,9013849952,Female,6,Yes,56,38,93,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Rajnee Vishwakarma,9358638092,Male,1,No,42,57,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kshatriya Thakur,9107038768,Male,8,No,67,58,72,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Babbu Rajput,9165308088,Female,6,Yes,56,17,88,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Mustaqim Rajput,9005555023,Female,5,No,60,38,74,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pavan Singh Vishwakarma,9341924266,Female,10,Yes,51,70,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Siyan Gupta,9464128010,Male,3,No,17,73,22,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Parashu Kumar,9001157786,Male,1,No,98,44,39,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Bandhul Pandey,9837418750,Female,5,No,43,15,86,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nanhe Tiwari,9433217289,Male,6,No,67,14,21,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sreelatha Sonkar,9658529548,Female,6,Yes,60,99,72,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Jotin Pandit,9503398196,Male,2,Yes,85,11,50,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Simhadri Devi,9495481083,Female,8,No,68,61,64,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Dayal Tiwari,9657287176,Male,9,No,30,29,89,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Niva Gupta,9223855245,Male,7,Yes,47,10,94,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nehu Rao,9061897703,Male,1,Yes,13,63,40,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Athar Rajput,9280608340,Male,9,Yes,70,32,93,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Jayoti Seth,9340684191,Male,4,Yes,93,33,53,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Bikram Gupta,9243630753,Female,1,Yes,79,43,63,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Heer Thakur,9349287004,Female,8,No,96,76,31,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Kariya Sonkar,9024805244,Male,10,Yes,94,70,59,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Sheshrao Pratap,9354706779,Male,7,No,46,23,69,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kshama Rao,9667120533,Female,2,Yes,39,90,23,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Devidaas Rajput,9671594506,Female,3,Yes,17,99,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Seems Divedi,9434075376,Female,7,Yes,28,50,29,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nenaram Singh,9097777803,Female,2,Yes,35,56,46,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sanjaysingh Maurya,9490796496,Male,10,No,39,16,67,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Saharukh Rai,9804434880,Female,10,Yes,83,75,81,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Shibsankar Thakur,9148910511,Male,3,Yes,52,93,18,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Banupriya Pandey,9988346092,Female,1,Yes,11,43,80,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Md Azhar Kumari,9157973240,Male,4,Yes,25,90,31,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sagir Sonkar,9820804505,Male,2,Yes,22,61,30,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Balaram Pratap,9659646842,Female,10,No,88,42,39,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rudransh Tiwari,9346695031,Female,3,No,35,82,70,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Ekani Seth,9080569669,Male,10,Yes,48,71,24,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Abirami Maurrya,9076351619,Male,5,Yes,14,69,96,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Raja Raja Srivastav,9491410327,Male,2,No,64,65,22,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ananthan Mishra,9949864632,Male,9,No,37,10,65,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bapin Rai,9789099642,Male,7,No,10,20,89,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shahban Sonkar,9125182499,Male,4,No,48,36,37,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Serajul Vishwakarma,9420461598,Female,1,No,42,44,82,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kalash Vishwakarma,9096968278,Male,6,No,69,61,44,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Naba Jyoti Tiwari,9627309729,Female,8,No,26,12,94,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sai Kumar Gupta,9282406549,Male,10,Yes,63,52,57,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sandipan Tiwari,9281324025,Female,2,No,87,29,19,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Manjul Pratap,9611301795,Female,10,Yes,83,60,74,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Aswathy Singh,9853169503,Male,8,No,27,41,66,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Viond Sonkar,9104385957,Female,2,Yes,72,35,45,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rebel Sonkar,9071907900,Female,7,No,82,46,56,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Manjarul Mishra,9542272350,Male,3,Yes,22,65,31,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Siddaram Kumari,9337182586,Male,8,Yes,99,81,39,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Parismita Pandey,9020297756,Female,5,Yes,72,58,38,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sheshmani Rao,9601772204,Female,9,No,77,76,70,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Ujwal Kumar,9856178525,Male,4,No,25,61,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bhadra Vishwakarma,9612602930,Male,4,No,87,57,82,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Lk Sonkar,9694209403,Male,8,Yes,64,99,43,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Harsh Singh,9243580520,Male,6,No,28,80,45,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pratixa Divedi,9901750564,Male,1,No,53,31,66,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sonu Singh Divedi,9098094487,Male,3,No,75,14,53,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Abinaya Rao,9547469680,Male,10,No,10,51,75,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rama Vishwakarma,9444687758,Female,3,Yes,96,41,38,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ramadevi Thakur,9253735058,Female,4,Yes,54,70,80,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Ghana Thakur,9081888176,Female,2,No,23,25,48,F,Failed,Better luck next time,NULL,NULL,NULL
रामु Gupta,9403070894,Female,6,No,34,38,76,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ashima Tiwari,9094988368,Female,3,Yes,11,14,86,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shanaya Pandey,9327905555,Male,5,Yes,54,21,78,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Varshil Rao,9678076953,Male,10,No,66,25,27,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sajju Seth,9128273676,Male,5,Yes,31,58,34,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dudekula Mishra,9951988497,Male,1,Yes,17,91,35,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Linga Sonkar,9686712101,Female,2,No,63,41,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sandeepa Divedi,9728997234,Female,8,No,94,27,39,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Manivannan Singh,9666208777,Female,7,No,10,32,59,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Chhagan Yadav,9638281329,Female,3,Yes,29,39,53,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Umesh Kumar Pandit,9467543027,Male,9,No,57,63,21,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Chandra Shekar Gupta,9780198164,Male,3,Yes,31,28,84,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Junad Vishwakarma,9417976957,Female,1,No,97,48,42,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Inus Sonkar,9569271138,Male,4,Yes,90,53,18,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ekadant Tiwari,9541687786,Male,6,Yes,88,40,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Iftikar Yadav,9036051425,Male,2,Yes,74,43,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Somabhai Rajput,9007996252,Male,2,Yes,20,23,83,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Devender Kumar Mishra,9458354609,Female,7,Yes,73,50,55,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shivnarayan Rajput,9151279299,Female,3,No,73,45,54,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Likhitha Rao,9791482763,Female,2,Yes,52,58,96,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Sanhita Tiwari,9521085198,Female,7,No,18,39,20,F,Failed,Better luck next time,NULL,NULL,NULL
Rameshwar Pratap,9402497834,Male,9,No,62,45,21,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sabita Pandey,9079048951,Male,6,Yes,11,56,51,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
